"","Species.Common.Name","Species.Latin.Name","Species.ID","short_name"
"179","Western Joshua Tree","Yucca brevifolia",34,"Yucca brevifolia"
"180","Western Pond Turtle","Actinemys spp.",33,"Actinemys spp."
"181","Western Spadefoot","Spea hammondii",137,"Spea hammondii"
"182","Whimbrel","Numenius phaeopus",117,"Numenius phaeopus"
"183","Willow Flycatcher","Empidonax trailii",135,"Empidonax trailii"
"184","Wood Stork","Mycteria americana",171,"Mycteria americana"
"185","Wood Thrush","Hylocichla mustelina",100,"Hylocichla mustelina"
"186","Wood Turtle","Glyptemys insculpta",114,"Glyptemys insculpta"
"187","Yellow-Billed Cuckoo","Coccyzus americanus americanus",5,"Coccyzus americanus"
"188","Yellow-Billed Cuckoo (Western)","Coccyzus americanus occidentalis",37,"Coccyzus americanus"
"189","Yellow-billed Magpie","Pica nuttalli",125,"Pica nuttalli"
"190","Yelloweye Rockfish","Sebastes ruberrimus",45,"Sebastes ruberrimus"
"191","Yuman Desert Fringe-toed Lizard","Uma rufopunctata",89,"Uma rufopunctata"
"192","Nassau Grouper","Epinephelus striatus",188,"Epinephelus striatus"
"193",NA,NA,189,NA
"194",NA,NA,190,NA
"195",NA,NA,191,NA
"196",NA,NA,192,NA
"197",NA,NA,193,NA
"198",NA,NA,194,NA
"199",NA,NA,195,NA
"200",NA,NA,196,NA
"201",NA,NA,197,NA
"202",NA,NA,198,NA
"203",NA,NA,199,NA
"204",NA,NA,200,NA
